% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);real(ewfd.Ez)
-1.0121447368421052E-7;0.030420952624046697
-1.009657894736842E-7;0.031871054363353864
-1.0071710526315789E-7;0.03335070660735498
-1.0046842105263157E-7;0.034859909356050045
-1.0021973684210526E-7;0.03639446017504498
-9.997105263157894E-8;0.03794750715781996
-9.972236842105262E-8;0.03951905030437498
-9.94736842105263E-8;0.041109089614710034
-9.922499999999999E-8;0.042710962448459476
-9.897631578947367E-8;0.044314763167534875
-9.872763157894736E-8;0.04592049177193621
-9.847894736842104E-8;0.0475281482616635
-9.823026315789472E-8;0.0491280555162485
-9.798157894736841E-8;0.05070663322290783
-9.773289473684209E-8;0.05226388138164149
-9.748421052631578E-8;0.05379979999244948
-9.723552631578946E-8;0.05530107964324031
-9.698684210526314E-8;0.05674978533738278
-9.673815789473683E-8;0.058145917074876846
-9.648947368421051E-8;0.059489474855722535
-9.62407894736842E-8;0.06076283914467901
-9.599210526315788E-8;0.06194299804906826
-9.574342105263156E-8;0.06302995156889027
-9.549473684210524E-8;0.06402369970414505
-9.524605263157893E-8;0.06490159124741327
-9.499736842105261E-8;0.06563480396923906
-9.47486842105263E-8;0.06622333786962242
-9.449999999999998E-8;0.06666719294856337
-9.425131578947366E-8;0.06693795150428514
-9.400263157894735E-8;0.06700027868099828
-9.375394736842103E-8;0.06685417447870276
-9.350526315789471E-8;0.06649963889739861
-9.32565789473684E-8;0.06590178161854846
-9.300789473684208E-8;0.06501813215569485
-9.275921052631576E-8;0.06384869050883785
-9.251052631578945E-8;0.06239345667797741
-9.226184210526313E-8;0.060610438199339284
-9.201315789473682E-8;0.05844953283795846
-9.17644736842105E-8;0.05591074059383495
-9.151578947368418E-8;0.052994061466968743
-9.126710526315787E-8;0.04964989541819891
-9.101842105263155E-8;0.04582018202894205
-9.076973684210523E-8;0.04150492129919815
-9.052105263157893E-8;0.03670411322896722
-9.027236842105261E-8;0.031360211633938595
-9.002368421052631E-8;0.02540707873471432
-8.977500000000001E-8;0.018844714531294417
-8.952631578947369E-8;0.011673119023678874
-8.927763157894738E-8;0.003826665677011862
-8.902894736842105E-8;-0.004768736600186347
-8.878026315789472E-8;-0.014113087807915752
-8.85315789473684E-8;-0.024206387946176352
-8.828289473684208E-8;-0.03512223795256397
-8.803421052631578E-8;-0.04694227461899739
-8.778552631578948E-8;-0.05966649794547659
-8.753684210526316E-8;-0.0732949079320016
-8.728815789473684E-8;-0.08790869377068411
-8.703947368421051E-8;-0.10359629662706817
-8.679078947368419E-8;-0.12035771650115379
-8.654210526315787E-8;-0.13819295339294094
-8.629342105263155E-8;-0.15719006856963613
-8.604473684210525E-8;-0.17744317058356987
-8.579605263157895E-8;-0.1989522594347422
-8.554736842105263E-8;-0.22171733512315314
-8.529868421052631E-8;-0.24583222304949637
-8.504999999999998E-8;-0.27139509599171574
-8.480131578947365E-8;-0.29840595394981134
-8.455263157894734E-8;-0.3268647969237831
-8.430394736842103E-8;-0.35686964418395917
-8.405526315789472E-8;-0.3885205924637261
-8.380657894736843E-8;-0.421817641763084
-8.355789473684211E-8;-0.4567607920820327
-8.33092105263158E-8;-0.493450152626834
-8.306052631578948E-8;-0.5319850061586088
-8.281184210526316E-8;-0.5723653526773568
-8.256315789473685E-8;-0.6145911921830782
-8.231447368421053E-8;-0.6587620248646003
-8.206578947368421E-8;-0.7049729438143821
-8.18171052631579E-8;-0.753223949032424
-8.156842105263158E-8;-0.8035150405187256
-8.131973684210527E-8;-0.8559417742469202
-8.107105263157895E-8;-0.9105910265926217
-8.082236842105263E-8;-0.9674627975558302
-8.057368421052632E-8;-1.0265570871365455
-8.0325E-8;-1.0879615207880913
-8.007631578947368E-8;-1.1517500931559597
-7.982763157894737E-8;-1.217922804240151
-7.957894736842105E-8;-1.286479654040665
-7.933026315789473E-8;-1.357495712178598
-7.908157894736842E-8;-1.4310268242799065
-7.88328947368421E-8;-1.5070729903445907
-7.858421052631579E-8;-1.5856342103726506
-7.833552631578947E-8;-1.6667677683451372
-7.808684210526315E-8;-1.7505055420962978
-7.783815789473684E-8;-1.8368475316261326
-7.758947368421052E-8;-1.9257937369346414
-7.73407894736842E-8;-2.017377871807771
-7.70921052631579E-8;-2.111601535785861
-7.68434210526316E-8;-2.208464728868911
-7.659473684210528E-8;-2.307967451056922
-7.634605263157896E-8;-2.4101135654111396
-7.609736842105263E-8;-2.514867657677599
-7.58486842105263E-8;-2.622229727856301
-7.559999999999999E-8;-2.732199775947245
-7.535131578947367E-8;-2.84474510347145
-7.510263157894737E-8;-2.9597861991122953
-7.485394736842107E-8;-3.0773230628697794
-7.460526315789475E-8;-3.1973556947439037
-7.435657894736843E-8;-3.3198077696118937
-7.41078947368421E-8;-3.444548343743264
-7.385921052631577E-8;-3.571577417138014
-7.361052631578946E-8;-3.700894989796145
-7.336184210526314E-8;-3.8323737847652755
-7.311315789473684E-8;-3.965823961897041
-7.286447368421054E-8;-4.101245521191444
-7.261578947368422E-8;-4.238638462648483
-7.23671052631579E-8;-4.3778170939722365
-7.211842105263157E-8;-4.518525243760915
-7.186973684210524E-8;-4.660762912014517
