% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);imag(ewfd.Ez)
-1.0892368421052633E-7;-0.004871387985585648
-1.0867500000000001E-7;-0.005009593660187142
-1.084263157894737E-7;-0.005142397203446947
-1.0817763157894738E-7;-0.005267657305094379
-1.0792894736842106E-7;-0.005382435764852738
-1.0768026315789475E-7;-0.005486732582722023
-1.0743157894736843E-7;-0.005580547758702235
-1.071828947368421E-7;-0.005660998652813131
-1.069342105263158E-7;-0.005724242845146614
-1.0668552631578948E-7;-0.005770280335702687
-1.0643684210526315E-7;-0.005799111124481346
-1.0618815789473685E-7;-0.005806957333174474
-1.0593947368421053E-7;-0.00578891754717091
-1.056907894736842E-7;-0.005744991766470656
-1.054421052631579E-7;-0.005675179991073711
-1.0519342105263158E-7;-0.005574653777211342
-1.0494473684210527E-7;-0.005437313062479136
-1.0469605263157895E-7;-0.005263157846877091
-1.0444736842105263E-7;-0.005052188130405209
-1.0419868421052632E-7;-0.0047983839831262755
-1.0395E-7;-0.004494337191973429
-1.0370131578947368E-7;-0.004140047756946669
-1.0345263157894737E-7;-0.003735515678045998
-1.0320394736842105E-7;-0.0032734180541927477
-1.0295526315789474E-7;-0.002744970443486472
-1.0270657894736842E-7;-0.00215017284592717
-1.024578947368421E-7;-0.0014890252615148423
-1.0220921052631579E-7;-7.528310664019584E-4
-1.0196052631578947E-7;6.859004430896271E-5
-1.0171184210526315E-7;9.752380706179214E-4
-1.0146315789473684E-7;0.0019671130125249177
-1.0121447368421052E-7;0.003054308235879972
-1.009657894736842E-7;0.00424836598576129
-1.0071710526315789E-7;0.005549286262168872
-1.0046842105263157E-7;0.006957069065102718
-1.0021973684210526E-7;0.008483174791805898
-9.997105263157894E-8;0.010140412600616822
-9.972236842105262E-8;0.011928782491535492
-9.94736842105263E-8;0.013848284464561907
-9.922499999999999E-8;0.01591165618187495
-9.897631578947367E-8;0.01813280316155789
-9.872763157894736E-8;0.020511725403610737
-9.847894736842104E-8;0.02304842290803348
-9.823026315789472E-8;0.025756746640721216
-9.798157894736841E-8;0.02865142869765462
-9.773289473684209E-8;0.031732469078833696
-9.748421052631578E-8;0.03499986778425844
-9.723552631578946E-8;0.03846832748608077
-9.698684210526314E-8;0.04215300593507306
-9.673815789473683E-8;0.04605390313123531
-9.648947368421051E-8;0.050171019074567516
-9.62407894736842E-8;0.0545195171363084
-9.599210526315788E-8;0.05911441310990952
-9.574342105263156E-8;0.0639557069953709
-9.549473684210524E-8;0.0690433987926925
-9.524605263157893E-8;0.07439255655546705
-9.499736842105261E-8;0.08001728724933226
-9.47486842105263E-8;0.0859175908742881
-9.449999999999998E-8;0.09209346743033461
-9.425131578947366E-8;0.0985591357999818
-9.400263157894735E-8;0.10532680462973101
-9.375394736842103E-8;0.11239647391958227
-9.350526315789471E-8;0.11976814366953553
-9.32565789473684E-8;0.12745420812474928
-9.300789473684208E-8;0.1354637548295212
